--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.071156,-0.692235,-0.700501,0.000000
Radius 2.0mm,-5.0,0.076286,-0.695037,-0.689515,0.000000
Radius 2.0mm,-5.0,0.081578,-0.696588,-0.677848,0.000000
Radius 2.0mm,-5.0,0.087032,-0.697028,-0.660449,0.000000
Radius 2.0mm,-5.0,0.092645,-0.696477,-0.614150,0.000000
Radius 2.0mm,-5.0,0.098416,-0.695040,-0.686732,0.495773
Radius 2.0mm,-5.0,0.104341,-0.692809,-0.758104,0.000000
Radius 2.0mm,-5.0,0.110418,-0.689864,-0.709092,0.000000
Radius 2.0mm,-5.0,0.116646,-0.686275,-0.688684,0.000000
Radius 2.0mm,-5.0,0.123021,-0.682105,-0.673165,0.000000
Radius 2.0mm,-5.0,0.129542,-0.677408,-0.657782,0.000000
Radius 2.0mm,-5.0,0.136206,-0.672233,-0.639297,0.000000
Radius 2.0mm,-5.0,0.143010,-0.666623,-0.610979,0.000000
Radius 2.0mm,-5.0,0.149951,-0.660616,-0.536261,0.000000
Radius 2.0mm,-5.0,0.157028,-0.654249,-0.654351,0.819277
Radius 2.0mm,-5.0,0.164237,-0.647553,-0.773912,0.000000
Radius 2.0mm,-5.0,0.171575,-0.640556,-0.695500,0.000000
Radius 2.0mm,-5.0,0.179040,-0.633284,-0.666030,0.000000
Radius 2.0mm,-5.0,0.186628,-0.625763,-0.646675,0.000000
Radius 2.0mm,-5.0,0.194338,-0.618014,-0.630789,0.000000
Radius 2.0mm,-5.0,0.202165,-0.610059,-0.615885,0.000000
Radius 2.0mm,-5.0,0.210107,-0.601915,-0.599765,0.000000
Radius 2.0mm,-5.0,0.218160,-0.593603,-0.574136,0.000000
Radius 2.0mm,-5.0,0.226323,-0.585137,-0.589944,0.175592
Radius 2.0mm,-5.0,0.234591,-0.576536,-0.605483,0.000000
Radius 2.0mm,-5.0,0.242961,-0.567812,-0.580082,0.000000
Radius 2.0mm,-5.0,0.251430,-0.558981,-0.564582,0.000000
Radius 2.0mm,-5.0,0.259996,-0.550056,-0.550864,0.000000
Radius 2.0mm,-5.0,0.268653,-0.541050,-0.537227,0.000000
Radius 2.0mm,-5.0,0.277400,-0.531975,-0.522413,0.000000
Radius 2.0mm,-5.0,0.286233,-0.522842,-0.503689,0.000000
Radius 2.0mm,-5.0,0.295148,-0.513661,-0.465958,0.000000
Radius 2.0mm,-5.0,0.304142,-0.504444,-0.507144,0.347733
Radius 2.0mm,-5.0,0.313212,-0.495200,-0.548383,0.000000
Radius 2.0mm,-5.0,0.322353,-0.485939,-0.510240,0.000000
Radius 2.0mm,-5.0,0.331563,-0.476668,-0.491700,0.000000
Radius 2.0mm,-5.0,0.340838,-0.467395,-0.477295,0.000000
Radius 2.0mm,-5.0,0.350175,-0.458130,-0.464339,0.000000
Radius 2.0mm,-5.0,0.359569,-0.448879,-0.451776,0.000000
Radius 2.0mm,-5.0,0.369017,-0.439648,-0.438558,0.000000
Radius 2.0mm,-5.0,0.378516,-0.430444,-0.420384,0.000000
Radius 2.0mm,-5.0,0.388061,-0.421272,-0.423936,0.097197
Radius 2.0mm,-5.0,0.397650,-0.412138,-0.427489,0.000000
Radius 2.0mm,-5.0,0.407278,-0.403048,-0.409643,0.000000
Radius 2.0mm,-5.0,0.416942,-0.394004,-0.397051,0.000000
Radius 2.0mm,-5.0,0.426638,-0.385012,-0.385461,0.000000
Radius 2.0mm,-5.0,0.436363,-0.376075,-0.373967,0.000000
Radius 2.0mm,-5.0,0.446111,-0.367195,-0.361880,0.000000
Radius 2.0mm,-5.0,0.455881,-0.358377,-0.347661,0.000000
Radius 2.0mm,-5.0,0.465668,-0.349622,-0.322780,0.000000
Radius 2.0mm,-5.0,0.475467,-0.340932,-0.342402,0.207392
Radius 2.0mm,-5.0,0.485277,-0.332310,-0.362190,0.000000
Radius 2.0mm,-5.0,0.495092,-0.323755,-0.337384,0.000000
Radius 2.0mm,-5.0,0.504908,-0.315270,-0.323634,0.000000
Radius 2.0mm,-5.0,0.514723,-0.306854,-0.312258,0.000000
Radius 2.0mm,-5.0,0.524533,-0.298508,-0.301732,0.000000
Radius 2.0mm,-5.0,0.534332,-0.290232,-0.291429,0.000000
Radius 2.0mm,-5.0,0.544119,-0.282026,-0.280664,0.000000
Radius 2.0mm,-5.0,0.553889,-0.273888,-0.266457,0.000000
Radius 2.0mm,-5.0,0.563637,-0.265818,-0.267418,0.072006
Radius 2.0mm,-5.0,0.573362,-0.257814,-0.268499,0.000000
Radius 2.0mm,-5.0,0.583058,-0.249875,-0.254636,0.000000
Radius 2.0mm,-5.0,0.592722,-0.241999,-0.244520,0.000000
Radius 2.0mm,-5.0,0.602350,-0.234184,-0.235207,0.000000
Radius 2.0mm,-5.0,0.611939,-0.226428,-0.226131,0.000000
Radius 2.0mm,-5.0,0.621484,-0.218728,-0.216971,0.000000
Radius 2.0mm,-5.0,0.630983,-0.211082,-0.207168,0.000000
Radius 2.0mm,-5.0,0.640431,-0.203486,-0.193823,0.000000
Radius 2.0mm,-5.0,0.649825,-0.195937,-0.195428,0.073645
Radius 2.0mm,-5.0,0.659162,-0.188433,-0.197115,0.000000
Radius 2.0mm,-5.0,0.668437,-0.180970,-0.183849,0.000000
Radius 2.0mm,-5.0,0.677647,-0.173544,-0.174228,0.000000
Radius 2.0mm,-5.0,0.686788,-0.166151,-0.165310,0.000000
Radius 2.0mm,-5.0,0.695858,-0.158788,-0.156496,0.000000
Radius 2.0mm,-5.0,0.704852,-0.151450,-0.147383,0.000000
Radius 2.0mm,-5.0,0.713767,-0.144134,-0.137147,0.000000
Radius 2.0mm,-5.0,0.722600,-0.136835,-0.121326,0.000000
Radius 2.0mm,-5.0,0.731347,-0.129549,-0.128582,0.117827
Radius 2.0mm,-5.0,0.740004,-0.122272,-0.136018,0.000000
Radius 2.0mm,-5.0,0.748570,-0.114999,-0.120084,0.000000
Radius 2.0mm,-5.0,0.757039,-0.107725,-0.109819,0.000000
Radius 2.0mm,-5.0,0.765409,-0.100447,-0.100670,0.000000
Radius 2.0mm,-5.0,0.773677,-0.093158,-0.091782,0.000000
Radius 2.0mm,-5.0,0.781840,-0.085855,-0.082695,0.000000
Radius 2.0mm,-5.0,0.789893,-0.078533,-0.072644,0.000000
Radius 2.0mm,-5.0,0.797835,-0.071186,-0.057724,0.000000
Radius 2.0mm,-5.0,0.805662,-0.063811,-0.062822,0.105662
Radius 2.0mm,-5.0,0.813372,-0.056401,-0.068098,0.000000
Radius 2.0mm,-5.0,0.820960,-0.048952,-0.052946,0.000000
Radius 2.0mm,-5.0,0.828425,-0.041458,-0.042663,0.000000
Radius 2.0mm,-5.0,0.835763,-0.033915,-0.033259,0.000000
Radius 2.0mm,-5.0,0.842972,-0.026317,-0.023943,0.000000
Radius 2.0mm,-5.0,0.850049,-0.018659,-0.014212,0.000000
Radius 2.0mm,-5.0,0.856990,-0.010934,-0.003088,0.000000
