--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
151,0.006971,0.021466,-0.829490,0.558522,0.002920,-0.086721,-0.085737,0.000985,0.000000
152,0.005436,0.019031,-0.861851,0.507161,0.002840,0.019238,0.020223,0.000985,0.000000
153,0.004091,0.016571,-0.892538,0.450971,0.002771,0.132602,0.133577,0.000975,0.000000
154,0.002937,0.014085,-0.920771,0.390103,0.002712,0.251200,0.252154,0.000953,0.000000
155,0.001974,0.011576,-0.945737,0.324932,0.002666,0.372079,0.372997,0.000918,0.000000
156,0.001204,0.009043,-0.966657,0.256074,0.002633,0.491614,0.492481,0.000867,0.000000
157,0.000626,0.006486,-0.982854,0.184387,0.002613,0.605766,0.606566,0.000800,0.000000
158,0.000241,0.003907,-0.993829,0.110925,0.002606,0.710455,0.711172,0.000717,0.000000
159,0.000048,0.001306,-0.999320,0.036869,0.002614,0.801966,0.802586,0.000619,0.000000
160,0.000048,-0.001306,-0.999320,-0.036869,0.002614,0.877340,0.877849,0.000508,0.000000
161,0.000241,-0.003907,-0.993829,-0.110925,0.002606,0.935419,0.935803,0.000384,0.000000
162,0.000626,-0.006486,-0.982854,-0.184387,0.002613,0.975078,0.975326,0.000248,0.000000
163,0.001204,-0.009043,-0.966657,-0.256074,0.002633,0.996061,0.996164,0.000102,0.000000
164,0.001974,-0.011576,-0.945737,-0.324932,0.002666,0.999106,0.999055,-0.000052,0.000000
165,0.002937,-0.014085,-0.920771,-0.390103,0.002712,0.985856,0.985645,-0.000211,0.000000
166,0.004091,-0.016571,-0.892538,-0.450971,0.002771,0.958622,0.958248,-0.000375,0.000000
167,0.005436,-0.019031,-0.861851,-0.507161,0.002840,0.920083,0.919542,-0.000541,0.000000
168,0.006971,-0.021466,-0.829490,-0.558522,0.002920,0.872990,0.872281,-0.000709,0.000000
169,0.008697,-0.023875,-0.796157,-0.605090,0.003009,0.819940,0.819059,-0.000881,0.000000
170,0.010612,-0.026257,-0.762454,-0.647042,0.003106,0.763224,0.762165,-0.001059,0.000000
171,0.012716,-0.028611,-0.728872,-0.684650,0.003210,0.704748,0.703502,-0.001246,0.000000
172,0.015008,-0.030936,-0.695790,-0.718245,0.003321,0.646026,0.644579,-0.001447,0.000000
173,0.017486,-0.033232,-0.663491,-0.748184,0.003438,0.588200,0.586532,-0.001668,0.000000
174,0.020151,-0.035497,-0.632173,-0.774827,0.003559,0.532093,0.530173,-0.001920,0.000000
175,0.023001,-0.037731,-0.601964,-0.798523,0.003684,0.478263,0.476045,-0.002218,0.000000
176,0.026034,-0.039932,-0.572938,-0.819599,0.003813,0.427058,0.424474,-0.002584,0.000000
