panel_id,XB_start_m,YB_start_m,XB_end_m,YB_end_m,XC_m,YC_m,XC_over_c,YC_over_c,panel_length_m,tx,ty,nx,ny,Vt_m_s,Cp,normal_transpiration_m_s,is_pore1_panel,is_pore2_panel
72,0.9497026257831855,-0.010619789343133927,0.948320518392618,-0.01090216162100377,0.9490115720879018,-0.010760975482068849,0.9490115720879018,-0.010760975482068849,0.0014106576276229571,-0.9797610444261221,-0.2001706667447415,0.20017066674474143,-0.9797610444261221,-6.98293538436856,0.09663511432081884,0.0,0,0
73,0.948320518392618,-0.01090216162100377,0.9469207120756319,-0.011187652303345397,0.9476206152341249,-0.011044906962174583,0.9476206152341249,-0.011044906962174583,0.001428622642540044,-0.9798292952275333,-0.1998363135516552,0.19983631355165515,-0.9798292952275333,-7.102285286663383,0.06549122253190143,0.0,0,0
74,0.9469207120756319,-0.011187652303345397,0.9455032620941839,-0.011476232470622193,0.946211987084908,-0.011331942386983795,0.946211987084908,-0.011331942386983795,0.0014465278990923132,-0.9798981287104344,-0.19949851465559593,0.19949851465559543,-0.9798981287104345,-7.360720892536315,-0.003755317521815682,0.0,0,0
75,0.9455032620941839,-0.011476232470622193,0.9440682244067722,-0.011767872991670938,0.944785743250478,-0.011622052731146566,0.944785743250478,-0.011622052731146566,0.001464372684056055,-0.9799675335631833,-0.19915730757893657,0.19915730757893652,-0.9799675335631833,-7.354062185754958,-0.001940090642857717,0.7482467062849849,1,0
76,0.9440682244067722,-0.011767872991670938,0.9426156556662277,-0.012062544529190247,0.9433419400365,-0.011915208760430594,0.9433419400365,-0.011915208760430594,0.0014821562876535228,-0.9800374985043461,-0.19881272978696277,0.1988127297869627,-0.9800374985043461,-7.085993196135761,0.06977368610174983,0.7482467062849849,1,0
77,0.9426156556662277,-0.012062544529190247,0.9411456132174767,-0.012360217545192197,0.9418806344418522,-0.012211381037191223,0.9418806344418522,-0.012211381037191223,0.0014998780035675083,-0.9801080122879979,-0.19846481866786808,0.19846481866786847,-0.9801080122879978,-6.955586512587257,0.10369736770416704,0.7482467062849849,1,0
78,0.9411456132174767,-0.012360217545192197,0.9396581550952782,-0.012660862306413577,0.9404018841563775,-0.012510539925802887,0.9404018841563775,-0.012510539925802887,0.0015175371289507964,-0.9801790637089278,-0.1981136115129135,0.19811361151291343,-0.9801790637089278,-6.864346879152135,0.12705757219398972,0.7482467062849849,1,0
79,0.9396581550952782,-0.012660862306413577,0.9381533400219317,-0.01296444888968442,0.9389057475586049,-0.012812655598048998,0.9389057475586049,-0.012812655598048998,0.001535132964440766,-0.9802506416078572,-0.19775914549619228,0.1977591454961922,-0.9802506416078572,-6.790586862439526,0.14571697594796718,0.7482467062849849,1,0
80,0.9381533400219317,-0.01296444888968442,0.9366312274049601,-0.013270947187250123,0.9373922837134459,-0.013117698038467272,0.9373922837134459,-0.013117698038467272,0.0015526648141678844,-0.9803227348765563,-0.19740145765457048,0.19740145765457,-0.9803227348765564,-6.725433487189973,0.16203144388063495,0.7482467062849849,1,0
81,0.9366312274049601,-0.013270947187250123,0.9350918773347628,-0.013580326912044544,0.9358615523698615,-0.013425637049647334,0.9358615523698615,-0.013425637049647334,0.0015701319857674685,-0.9803953324629645,-0.19704058486726383,0.19704058486726375,-0.9803953324629645,-6.6638848931001196,0.17729879748271837,0.7482467062849849,1,0
82,0.9350918773347628,-0.013580326912044544,0.933535350582245,-0.01389255760291155,0.934313613958504,-0.013736442257478047,0.934313613958504,-0.013736442257478047,0.0015875337903877777,-0.9804684233761252,-0.1966765638359982,0.19667656383599816,-0.9804684233761252,-6.602210205001009,0.19245663427439985,0.7482467062849849,1,0
83,0.933535350582245,-0.01389255760291155,0.9319617085964176,-0.01420760862977139,0.9327485295893313,-0.014050083116341469,0.9327485295893313,-0.014050083116341469,0.0016048695426994525,-0.9805419966912124,-0.1963094310643538,0.19630943106435372,-0.9805419966912124,-6.536676591115016,0.20840843983602364,0.7482467062849849,1,0
84,0.9319617085964176,-0.01420760862977139,0.9303710135019718,-0.014525449198729619,0.9311663610491947,-0.014366528914250505,0.9311663610491947,-0.014366528914250505,0.0016221385609033205,-0.9806160415543967,-0.19593922283755666,0.1959392228375566,-0.9806160415543967,-6.462274872413487,0.22632598255840386,0.7482467062849849,1,0
85,0.9303710135019718,-0.014525449198729619,0.9287633280968262,-0.01484604835712584,0.929567170799399,-0.01468574877792773,0.929567170799399,-0.01468574877792773,0.0016393401667386621,-0.9806905471876699,-0.19556597520210073,0.19556597520210064,-0.9806905471876699,-6.370112042372341,0.24823638761468003,0.7482467062849849,1,0
