eval_id,topology_pore1_side,topology_pore2_side,x1_frac,x2_frac,d1_m,d2_m,effective_hydraulic_diameter_m,CL,CD,CM,gain_percent,Q_m3_s,Rs_Pa_s_per_m3,dp_total_Pa,Re_equivalent,max_vn_m_s,max_vn_over_vinf,coupling_converged,coupling_iterations,objective_value
14912,lower,upper,0.9301806562385685,0.9548903461811826,0.013837831823332309,0.015015966455586671,0.011461326611002983,0.5340937397065593,0.00016516257387121785,-0.015173847899685334,5.763101091040057,-0.00021743972715872415,1472.3414274609793,0.32014551827160176,1643.9087533660318,0.7369829175916307,0.1003115637833053,True,19,-0.04346945402148309
8463,upper,upper,0.01021318275959443,0.9427494519008317,0.01920889522362989,0.01903219770790402,0.009132789334903389,0.5340930337892457,0.0003084535785252071,-0.01381839690063991,5.762961302836889,-0.0003583021756447914,108198.18535505525,38.767645213534706,3399.5364929128054,0.9300552204615373,0.12659084945170926,True,21,-0.031395386145121204
14964,upper,upper,0.01005752090174894,0.9471715782770287,0.019037246940986713,0.01789084069116443,0.00909355297020763,0.5340884476239736,0.00021669633696938528,-0.013913774511640954,5.762053134428924,-0.000345350108480582,110656.6228206907,38.21527669522038,3290.7864323242916,0.9300270414273726,0.12658701397205907,True,21,-0.033586970416470685
16735,lower,upper,0.9314313084167194,0.9594887508057113,0.018668496107768308,0.01410185583087541,0.009981157469276733,0.5340863452022196,0.00017624915621944348,-0.015269759170357323,5.761636805556347,-0.00020781574212686468,2695.080249052171,0.5600801020482322,1804.1441619336617,0.6797927275663633,0.09252734347431057,True,13,-0.0448978861487654
14184,lower,lower,0.04811775454262651,0.9381729053922714,0.01856780572927308,0.019105339323078993,0.01814384760212229,0.5340799902690986,0.0008371776152622246,-0.015052977049750674,5.760378379583275,0.0004569352567880933,6636.5746605554305,3.0324849467142485,2182.2222624512688,1.182885983831341,0.16100392557704366,True,24,-0.007681680098563442
10191,lower,upper,0.9375352090436131,0.9591724215053379,0.018858070085442137,0.014060625144447274,0.010456610040799475,0.5340716376740636,0.00015605459597655552,-0.015309286957649316,5.758724369645729,-0.0002035946832167339,1904.0599183273114,0.38765647589752916,1687.1326203577814,0.6659850701079335,0.09064796787580207,True,19,-0.04568637171058227
10235,lower,upper,0.9014762779022788,0.9519194121201175,0.017355728636070343,0.015170472812037438,0.009624609214360418,0.5340682799632225,0.00023822937796877386,-0.014943536145434472,5.758059464059451,-0.00023834608748546645,5007.868807053699,1.1936059368017595,2145.846363568563,0.7179508992013115,0.09772109461351185,True,17,-0.042089546267004334
11466,upper,upper,0.010097162829853734,0.9463731680935485,0.018935800275320876,0.01656618653205206,0.009054249077999229,0.534058992545141,0.00032865307962526985,-0.013885501723740376,5.756220337208862,-0.0003515479388363706,112347.08810687762,39.49538725824095,3364.386027379646,1.0066572394245394,0.13701723536611787,True,22,-0.028367286675238475
6384,lower,upper,0.8498768898196072,0.9608318885291598,0.015769376190320566,0.013895024611799143,0.008228621963491693,0.5340567566534103,0.00041161945106830966,-0.014779936968597189,5.755777578147003,-0.00024312199361119005,18741.999922067036,4.5565923853137065,2560.1820008169716,0.806965100720311,0.10983691648693124,True,20,-0.035992212200680974
12240,upper,upper,0.010145855371818502,0.9435242024643473,0.018870784299156916,0.019711766291802935,0.00914771473348081,0.5340526611713324,0.00035210419054920034,-0.013789261979517471,5.754966576532827,-0.0003601858991152433,107493.76765923272,38.7177393536258,3411.833239681541,0.9532452062124719,0.1297472641789198,True,21,-0.029579179930605035
13452,upper,upper,0.010292442378271816,0.9471653455090193,0.01886632750696112,0.018623526968976047,0.009053062793579106,0.5340483559397313,0.0003801704905629297,-0.013910923222836928,5.7541140395880985,-0.00034786788288704426,112575.687155437,39.16146595531609,3329.6033790158103,0.9206451163027617,0.12531002971898703,True,21,-0.03048995029370983
7736,lower,upper,0.9034247858746526,0.947767962669399,0.016966004503053484,0.014105683994462834,0.009534741297223289,0.5340428624954783,0.0002260494082016798,-0.01489161285443762,5.753026208638801,-0.0002437695530976021,4776.453573864358,1.164353953092359,2215.3596911516775,0.8479913314708525,0.11542104233908827,True,25,-0.038405618922050036
