Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Large Pores,-5.0,0.234591,-0.576536,-0.591564,0.000000
Large Pores,-5.0,0.242961,-0.567812,-0.570522,0.000000
Large Pores,-5.0,0.251430,-0.558981,-0.552175,0.000000
Large Pores,-5.0,0.259996,-0.550056,-0.535651,0.000000
Large Pores,-5.0,0.268653,-0.541050,-0.520426,0.000000
Large Pores,-5.0,0.277400,-0.531975,-0.506165,0.000000
Large Pores,-5.0,0.286233,-0.522842,-0.492644,0.000000
Large Pores,-5.0,0.295148,-0.513661,-0.479706,0.000000
Large Pores,-5.0,0.304142,-0.504444,-0.467239,0.000000
Large Pores,-5.0,0.313212,-0.495200,-0.455161,0.000000
Large Pores,-5.0,0.322353,-0.485939,-0.443408,0.000000
Large Pores,-5.0,0.331563,-0.476668,-0.431935,0.000000
Large Pores,-5.0,0.340838,-0.467395,-0.420706,0.000000
Large Pores,-5.0,0.350175,-0.458130,-0.409692,0.000000
Large Pores,-5.0,0.359569,-0.448879,-0.398871,0.000000
Large Pores,-5.0,0.369017,-0.439648,-0.388227,0.000000
Large Pores,-5.0,0.378516,-0.430444,-0.377745,0.000000
Large Pores,-5.0,0.388061,-0.421272,-0.367413,0.000000
Large Pores,-5.0,0.397650,-0.412138,-0.357224,0.000000
Large Pores,-5.0,0.407278,-0.403048,-0.347170,0.000000
Large Pores,-5.0,0.416942,-0.394004,-0.337244,0.000000
Large Pores,-5.0,0.426638,-0.385012,-0.327442,0.000000
Large Pores,-5.0,0.436363,-0.376075,-0.317759,0.000000
Large Pores,-5.0,0.446111,-0.367195,-0.308191,0.000000
Large Pores,-5.0,0.455881,-0.358377,-0.298736,0.000000
Large Pores,-5.0,0.465668,-0.349622,-0.289390,0.000000
Large Pores,-5.0,0.475467,-0.340932,-0.280151,0.000000
Large Pores,-5.0,0.485277,-0.332310,-0.271016,0.000000
Large Pores,-5.0,0.495092,-0.323755,-0.261983,0.000000
Large Pores,-5.0,0.504908,-0.315270,-0.253049,0.000000
Large Pores,-5.0,0.514723,-0.306854,-0.244212,0.000000
Large Pores,-5.0,0.524533,-0.298508,-0.235469,0.000000
Large Pores,-5.0,0.534332,-0.290232,-0.226819,0.000000
Large Pores,-5.0,0.544119,-0.282026,-0.218258,0.000000
Large Pores,-5.0,0.553889,-0.273888,-0.209783,0.000000
Large Pores,-5.0,0.563637,-0.265818,-0.201393,0.000000
Large Pores,-5.0,0.573362,-0.257814,-0.193084,0.000000
Large Pores,-5.0,0.583058,-0.249875,-0.184853,0.000000
Large Pores,-5.0,0.592722,-0.241999,-0.176697,0.000000
Large Pores,-5.0,0.602350,-0.234184,-0.168614,0.000000
Large Pores,-5.0,0.611939,-0.226428,-0.160599,0.000000
Large Pores,-5.0,0.621484,-0.218728,-0.152649,0.000000
Large Pores,-5.0,0.630983,-0.211082,-0.144761,0.000000
Large Pores,-5.0,0.640431,-0.203486,-0.136931,0.000000
Large Pores,-5.0,0.649825,-0.195937,-0.129155,0.000000
Large Pores,-5.0,0.659162,-0.188433,-0.121429,0.000000
Large Pores,-5.0,0.668437,-0.180970,-0.113750,0.000000
Large Pores,-5.0,0.677647,-0.173544,-0.106113,0.000000
Large Pores,-5.0,0.686788,-0.166151,-0.098514,0.000000
Large Pores,-5.0,0.695858,-0.158788,-0.090949,0.000000
Large Pores,-5.0,0.704852,-0.151450,-0.083413,0.000000
Large Pores,-5.0,0.713767,-0.144134,-0.075903,0.000000
Large Pores,-5.0,0.722600,-0.136835,-0.068413,0.000000
Large Pores,-5.0,0.731347,-0.129549,-0.060940,0.000000
Large Pores,-5.0,0.740004,-0.122272,-0.053478,0.000000
Large Pores,-5.0,0.748570,-0.114999,-0.046023,0.000000
Large Pores,-5.0,0.757039,-0.107725,-0.038572,0.000000
Large Pores,-5.0,0.765409,-0.100447,-0.031118,0.000000
Large Pores,-5.0,0.773677,-0.093158,-0.023657,0.000000
Large Pores,-5.0,0.781840,-0.085855,-0.016186,0.000000
Large Pores,-5.0,0.789893,-0.078533,-0.008698,0.000000
Large Pores,-5.0,0.797835,-0.071186,-0.001190,0.000000
Large Pores,-5.0,0.805662,-0.063811,0.006343,0.000000
Large Pores,-5.0,0.813372,-0.056401,0.013906,0.000000
Large Pores,-5.0,0.820960,-0.048952,0.021503,0.000000
Large Pores,-5.0,0.828425,-0.041458,0.029139,0.000000
Large Pores,-5.0,0.835763,-0.033915,0.036818,0.000000
Large Pores,-5.0,0.842972,-0.026317,0.044545,0.000000
Large Pores,-5.0,0.850049,-0.018659,0.052324,0.000000
Large Pores,-5.0,0.856990,-0.010934,0.060160,0.000000
Large Pores,-5.0,0.863794,-0.003138,0.068057,0.000000
Large Pores,-5.0,0.870458,0.004735,0.076019,0.000000
Large Pores,-5.0,0.876979,0.012692,0.084050,0.000000
Large Pores,-5.0,0.883354,0.020739,0.092155,0.000000
Large Pores,-5.0,0.889582,0.028883,0.100336,0.000000
Large Pores,-5.0,0.895659,0.037130,0.108598,0.000000
Large Pores,-5.0,0.901584,0.045488,0.116944,0.000000
Large Pores,-5.0,0.907355,0.053964,0.125376,0.000000
Large Pores,-5.0,0.912968,0.062567,0.133899,0.000000
Large Pores,-5.0,0.918422,0.071305,0.142512,0.000000
Large Pores,-5.0,0.923714,0.080188,0.151217,0.000000
Large Pores,-5.0,0.928844,0.089226,0.160014,0.000000
Large Pores,-5.0,0.933808,0.098432,0.168902,0.000000
Large Pores,-5.0,0.938604,0.107816,0.177875,0.000000
Large Pores,-5.0,0.943232,0.117393,0.186928,0.000000
Large Pores,-5.0,0.947689,0.127178,0.196048,0.000000
Large Pores,-5.0,0.951973,0.137189,0.205221,0.000000
Large Pores,-5.0,0.956083,0.147444,0.214419,0.000000
Large Pores,-5.0,0.960017,0.157966,0.223611,0.000000
Large Pores,-5.0,0.963774,0.168780,0.232749,0.000000
Large Pores,-5.0,0.967352,0.179914,0.241783,0.000000
Large Pores,-5.0,0.970749,0.191402,0.250682,0.000000
Large Pores,-5.0,0.973966,0.203284,0.259539,0.000000
Large Pores,-5.0,0.976999,0.215605,0.268805,0.000000
Large Pores,-5.0,0.979849,0.228421,0.279468,0.000000
Large Pores,-5.0,0.982514,0.241797,0.292484,0.000000
