--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.000241,0.776746,0.789568,0.000000
Radius 2.0mm,-5.0,0.000626,0.683055,0.698860,0.000000
Radius 2.0mm,-5.0,0.001204,0.578681,0.597491,0.000000
Radius 2.0mm,-5.0,0.001974,0.467481,0.489272,0.000000
Radius 2.0mm,-5.0,0.002937,0.353372,0.378088,0.000000
Radius 2.0mm,-5.0,0.004091,0.239957,0.267527,0.000000
Radius 2.0mm,-5.0,0.005436,0.130260,0.160616,0.000000
Radius 2.0mm,-5.0,0.006971,0.026578,0.059678,0.000000
Radius 2.0mm,-5.0,0.008697,-0.069531,-0.033687,0.000000
Radius 2.0mm,-5.0,0.010612,-0.157183,-0.118531,0.000000
Radius 2.0mm,-5.0,0.012716,-0.236047,-0.194441,0.000000
Radius 2.0mm,-5.0,0.015008,-0.306208,-0.261394,0.000000
Radius 2.0mm,-5.0,0.017486,-0.368043,-0.319621,0.000000
Radius 2.0mm,-5.0,0.020151,-0.422109,-0.369482,0.000000
Radius 2.0mm,-5.0,0.023001,-0.469060,-0.411347,0.000000
Radius 2.0mm,-5.0,0.026034,-0.509584,-0.445470,0.000000
Radius 2.0mm,-5.0,0.029251,-0.544362,-0.471819,0.000000
Radius 2.0mm,-5.0,0.032648,-0.574042,-0.489776,0.000000
Radius 2.0mm,-5.0,0.036226,-0.599220,-0.497411,0.000000
Radius 2.0mm,-5.0,0.039983,-0.620439,-0.489343,0.000000
Radius 2.0mm,-5.0,0.043917,-0.638183,-0.447882,0.000000
Radius 2.0mm,-5.0,0.048027,-0.652880,-0.271043,0.000000
Radius 2.0mm,-5.0,0.052311,-0.664905,-0.655802,2.509944
Radius 2.0mm,-5.0,0.056768,-0.674587,-1.072933,0.000000
Radius 2.0mm,-5.0,0.061396,-0.682209,-0.855523,0.000000
Radius 2.0mm,-5.0,0.066192,-0.688021,-0.796912,0.000000
Radius 2.0mm,-5.0,0.071156,-0.692235,-0.770137,0.000000
Radius 2.0mm,-5.0,0.076286,-0.695037,-0.754702,0.000000
Radius 2.0mm,-5.0,0.081578,-0.696588,-0.744256,0.000000
Radius 2.0mm,-5.0,0.087032,-0.697028,-0.736220,0.000000
Radius 2.0mm,-5.0,0.092645,-0.696477,-0.729377,0.000000
Radius 2.0mm,-5.0,0.098416,-0.695040,-0.723095,0.000000
Radius 2.0mm,-5.0,0.104341,-0.692809,-0.717028,0.000000
Radius 2.0mm,-5.0,0.110418,-0.689864,-0.710977,0.000000
Radius 2.0mm,-5.0,0.116646,-0.686275,-0.704828,0.000000
Radius 2.0mm,-5.0,0.123021,-0.682105,-0.698515,0.000000
Radius 2.0mm,-5.0,0.129542,-0.677408,-0.692003,0.000000
Radius 2.0mm,-5.0,0.136206,-0.672233,-0.685274,0.000000
Radius 2.0mm,-5.0,0.143010,-0.666623,-0.678321,0.000000
Radius 2.0mm,-5.0,0.149951,-0.660616,-0.671145,0.000000
Radius 2.0mm,-5.0,0.157028,-0.654249,-0.663752,0.000000
Radius 2.0mm,-5.0,0.164237,-0.647553,-0.656150,0.000000
Radius 2.0mm,-5.0,0.171575,-0.640556,-0.648349,0.000000
Radius 2.0mm,-5.0,0.179040,-0.633284,-0.640362,0.000000
Radius 2.0mm,-5.0,0.186628,-0.625763,-0.632199,0.000000
Radius 2.0mm,-5.0,0.194338,-0.618014,-0.623874,0.000000
Radius 2.0mm,-5.0,0.202165,-0.610059,-0.615398,0.000000
Radius 2.0mm,-5.0,0.210107,-0.601915,-0.606784,0.000000
Radius 2.0mm,-5.0,0.218160,-0.593603,-0.598044,0.000000
Radius 2.0mm,-5.0,0.226323,-0.585137,-0.589190,0.000000
Radius 2.0mm,-5.0,0.234591,-0.576536,-0.580234,0.000000
Radius 2.0mm,-5.0,0.242961,-0.567812,-0.571187,0.000000
Radius 2.0mm,-5.0,0.251430,-0.558981,-0.562059,0.000000
Radius 2.0mm,-5.0,0.259996,-0.550056,-0.552862,0.000000
Radius 2.0mm,-5.0,0.268653,-0.541050,-0.543606,0.000000
Radius 2.0mm,-5.0,0.277400,-0.531975,-0.534301,0.000000
Radius 2.0mm,-5.0,0.286233,-0.522842,-0.524956,0.000000
Radius 2.0mm,-5.0,0.295148,-0.513661,-0.515580,0.000000
Radius 2.0mm,-5.0,0.304142,-0.504444,-0.506183,0.000000
Radius 2.0mm,-5.0,0.313212,-0.495200,-0.496773,0.000000
Radius 2.0mm,-5.0,0.322353,-0.485939,-0.487358,0.000000
Radius 2.0mm,-5.0,0.331563,-0.476668,-0.477945,0.000000
Radius 2.0mm,-5.0,0.340838,-0.467395,-0.468542,0.000000
Radius 2.0mm,-5.0,0.350175,-0.458130,-0.459156,0.000000
Radius 2.0mm,-5.0,0.359569,-0.448879,-0.449793,0.000000
Radius 2.0mm,-5.0,0.369017,-0.439648,-0.440459,0.000000
Radius 2.0mm,-5.0,0.378516,-0.430444,-0.431159,0.000000
Radius 2.0mm,-5.0,0.388061,-0.421272,-0.421900,0.000000
Radius 2.0mm,-5.0,0.397650,-0.412138,-0.412686,0.000000
Radius 2.0mm,-5.0,0.407278,-0.403048,-0.403521,0.000000
Radius 2.0mm,-5.0,0.416942,-0.394004,-0.394410,0.000000
Radius 2.0mm,-5.0,0.426638,-0.385012,-0.385356,0.000000
Radius 2.0mm,-5.0,0.436363,-0.376075,-0.376362,0.000000
Radius 2.0mm,-5.0,0.446111,-0.367195,-0.367432,0.000000
Radius 2.0mm,-5.0,0.455881,-0.358377,-0.358568,0.000000
Radius 2.0mm,-5.0,0.465668,-0.349622,-0.349771,0.000000
Radius 2.0mm,-5.0,0.475467,-0.340932,-0.341045,0.000000
Radius 2.0mm,-5.0,0.485277,-0.332310,-0.332390,0.000000
Radius 2.0mm,-5.0,0.495092,-0.323755,-0.323808,0.000000
Radius 2.0mm,-5.0,0.504908,-0.315270,-0.315299,0.000000
Radius 2.0mm,-5.0,0.514723,-0.306854,-0.306864,0.000000
Radius 2.0mm,-5.0,0.524533,-0.298508,-0.298503,0.000000
Radius 2.0mm,-5.0,0.534332,-0.290232,-0.290215,0.000000
Radius 2.0mm,-5.0,0.544119,-0.282026,-0.282001,0.000000
Radius 2.0mm,-5.0,0.553889,-0.273888,-0.273859,0.000000
Radius 2.0mm,-5.0,0.563637,-0.265818,-0.265789,0.000000
Radius 2.0mm,-5.0,0.573362,-0.257814,-0.257789,0.000000
Radius 2.0mm,-5.0,0.583058,-0.249875,-0.249858,0.000000
Radius 2.0mm,-5.0,0.592722,-0.241999,-0.241994,0.000000
Radius 2.0mm,-5.0,0.602350,-0.234184,-0.234195,0.000000
Radius 2.0mm,-5.0,0.611939,-0.226428,-0.226459,0.000000
Radius 2.0mm,-5.0,0.621484,-0.218728,-0.218783,0.000000
Radius 2.0mm,-5.0,0.630983,-0.211082,-0.211165,0.000000
Radius 2.0mm,-5.0,0.640431,-0.203486,-0.203603,0.000000
Radius 2.0mm,-5.0,0.649825,-0.195937,-0.196092,0.000000
Radius 2.0mm,-5.0,0.659162,-0.188433,-0.188630,0.000000
Radius 2.0mm,-5.0,0.668437,-0.180970,-0.181214,0.000000
Radius 2.0mm,-5.0,0.677647,-0.173544,-0.173841,0.000000
Radius 2.0mm,-5.0,0.686788,-0.166151,-0.166507,0.000000
Radius 2.0mm,-5.0,0.695858,-0.158788,-0.159208,0.000000
Radius 2.0mm,-5.0,0.704852,-0.151450,-0.151941,0.000000
Radius 2.0mm,-5.0,0.713767,-0.144134,-0.144702,0.000000
Radius 2.0mm,-5.0,0.722600,-0.136835,-0.137488,0.000000
Radius 2.0mm,-5.0,0.731347,-0.129549,-0.130294,0.000000
Radius 2.0mm,-5.0,0.740004,-0.122272,-0.123116,0.000000
Radius 2.0mm,-5.0,0.748570,-0.114999,-0.115951,0.000000
Radius 2.0mm,-5.0,0.757039,-0.107725,-0.108793,0.000000
Radius 2.0mm,-5.0,0.765409,-0.100447,-0.101640,0.000000
Radius 2.0mm,-5.0,0.773677,-0.093158,-0.094486,0.000000
Radius 2.0mm,-5.0,0.781840,-0.085855,-0.087326,0.000000
Radius 2.0mm,-5.0,0.789893,-0.078533,-0.080155,0.000000
Radius 2.0mm,-5.0,0.797835,-0.071186,-0.072966,0.000000
Radius 2.0mm,-5.0,0.805662,-0.063811,-0.065753,0.000000
Radius 2.0mm,-5.0,0.813372,-0.056401,-0.058508,0.000000
Radius 2.0mm,-5.0,0.820960,-0.048952,-0.051219,0.000000
Radius 2.0mm,-5.0,0.828425,-0.041458,-0.043876,0.000000
Radius 2.0mm,-5.0,0.835763,-0.033915,-0.036465,0.000000
Radius 2.0mm,-5.0,0.842972,-0.026317,-0.028970,0.000000
Radius 2.0mm,-5.0,0.850049,-0.018659,-0.021378,0.000000
Radius 2.0mm,-5.0,0.856990,-0.010934,-0.013677,0.000000
Radius 2.0mm,-5.0,0.863794,-0.003138,-0.005858,0.000000
Radius 2.0mm,-5.0,0.870458,0.004735,0.002085,0.000000
Radius 2.0mm,-5.0,0.876979,0.012692,0.010154,0.000000
Radius 2.0mm,-5.0,0.883354,0.020739,0.018350,0.000000
Radius 2.0mm,-5.0,0.889582,0.028883,0.026673,0.000000
Radius 2.0mm,-5.0,0.895659,0.037130,0.035123,0.000000
Radius 2.0mm,-5.0,0.901584,0.045488,0.043703,0.000000
Radius 2.0mm,-5.0,0.907355,0.053964,0.052416,0.000000
Radius 2.0mm,-5.0,0.912968,0.062567,0.061269,0.000000
Radius 2.0mm,-5.0,0.918422,0.071305,0.070269,0.000000
Radius 2.0mm,-5.0,0.923714,0.080188,0.079423,0.000000
Radius 2.0mm,-5.0,0.928844,0.089226,0.088742,0.000000
Radius 2.0mm,-5.0,0.933808,0.098432,0.098239,0.000000
Radius 2.0mm,-5.0,0.938604,0.107816,0.107925,0.000000
Radius 2.0mm,-5.0,0.943232,0.117393,0.117817,0.000000
Radius 2.0mm,-5.0,0.947689,0.127178,0.127931,0.000000
Radius 2.0mm,-5.0,0.951973,0.137189,0.138287,0.000000
Radius 2.0mm,-5.0,0.956083,0.147444,0.148908,0.000000
Radius 2.0mm,-5.0,0.960017,0.157966,0.159819,0.000000
Radius 2.0mm,-5.0,0.963774,0.168780,0.171052,0.000000
Radius 2.0mm,-5.0,0.967352,0.179914,0.182641,0.000000
Radius 2.0mm,-5.0,0.970749,0.191402,0.194628,0.000000
Radius 2.0mm,-5.0,0.973966,0.203284,0.207066,0.000000
Radius 2.0mm,-5.0,0.976999,0.215605,0.220016,0.000000
Radius 2.0mm,-5.0,0.979849,0.228421,0.233557,0.000000
Radius 2.0mm,-5.0,0.982514,0.241797,0.247791,0.000000
Radius 2.0mm,-5.0,0.984992,0.255815,0.262847,0.000000
Radius 2.0mm,-5.0,0.987284,0.270574,0.278876,0.000000
Radius 2.0mm,-5.0,0.989388,0.286198,0.295939,0.000000
Radius 2.0mm,-5.0,0.991303,0.302848,0.313685,0.000000
Radius 2.0mm,-5.0,0.993029,0.320733,0.331821,0.000000
Radius 2.0mm,-5.0,0.994564,0.340131,0.350985,0.000000
Radius 2.0mm,-5.0,0.995909,0.361433,0.371932,0.000000
Radius 2.0mm,-5.0,0.997063,0.385199,0.395321,0.000000
Radius 2.0mm,-5.0,0.998026,0.412289,0.422006,0.000000
Radius 2.0mm,-5.0,0.998796,0.444105,0.453361,0.000000
Radius 2.0mm,-5.0,0.999374,0.483186,0.491869,0.000000
Radius 2.0mm,-5.0,0.999759,0.534769,0.542664,0.000000
Radius 2.0mm,-5.0,0.999952,0.609977,0.616654,0.000000
Radius 2.0mm,5.0,0.999952,0.609946,0.610542,0.000000
Radius 2.0mm,5.0,0.999759,0.534759,0.535496,0.000000
Radius 2.0mm,5.0,0.999374,0.483181,0.484048,0.000000
Radius 2.0mm,5.0,0.998796,0.444101,0.445111,0.000000
Radius 2.0mm,5.0,0.998026,0.412285,0.413467,0.000000
Radius 2.0mm,5.0,0.997063,0.385197,0.386601,0.000000
Radius 2.0mm,5.0,0.995909,0.361430,0.363140,0.000000
Radius 2.0mm,5.0,0.994564,0.340129,0.342291,0.000000
Radius 2.0mm,5.0,0.993029,0.320730,0.323652,0.000000
Radius 2.0mm,5.0,0.991303,0.302846,0.307589,0.000000
Radius 2.0mm,5.0,0.989388,0.286196,0.290527,-0.019807
Radius 2.0mm,5.0,0.987284,0.270572,0.272592,-0.018227
Radius 2.0mm,5.0,0.984992,0.255813,0.256715,-0.016792
Radius 2.0mm,5.0,0.982514,0.241795,0.241948,-0.015445
Radius 2.0mm,5.0,0.979849,0.228419,0.228006,-0.014166
Radius 2.0mm,5.0,0.976999,0.215603,0.214739,-0.012943
Radius 2.0mm,5.0,0.973966,0.203282,0.202045,-0.011768
Radius 2.0mm,5.0,0.970749,0.191400,0.189849,-0.010633
Radius 2.0mm,5.0,0.967352,0.179912,0.178093,-0.009533
Radius 2.0mm,5.0,0.963774,0.168778,0.166729,-0.008463
Radius 2.0mm,5.0,0.960017,0.157964,0.155720,-0.007421
Radius 2.0mm,5.0,0.956083,0.147442,0.145032,-0.006401
Radius 2.0mm,5.0,0.951973,0.137187,0.134638,-0.005402
Radius 2.0mm,5.0,0.947689,0.127177,0.124513,-0.004421
Radius 2.0mm,5.0,0.943232,0.117391,0.114638,-0.003455
Radius 2.0mm,5.0,0.938604,0.107814,0.104995,-0.002502
Radius 2.0mm,5.0,0.933808,0.098430,0.095567,-0.001561
Radius 2.0mm,5.0,0.928844,0.089225,0.086342,-0.000629
Radius 2.0mm,5.0,0.923714,0.080186,0.077308,0.000294
Radius 2.0mm,5.0,0.918422,0.071303,0.068455,0.001211
Radius 2.0mm,5.0,0.912968,0.062565,0.059775,0.002122
Radius 2.0mm,5.0,0.907355,0.053962,0.051259,0.003029
Radius 2.0mm,5.0,0.901584,0.045486,0.042904,0.003934
Radius 2.0mm,5.0,0.895659,0.037128,0.034705,0.004836
Radius 2.0mm,5.0,0.889582,0.028881,0.026662,0.005738
Radius 2.0mm,5.0,0.883354,0.020738,0.018777,0.006638
Radius 2.0mm,5.0,0.876979,0.012691,0.011059,0.007539
Radius 2.0mm,5.0,0.870458,0.004734,0.003528,0.008438
Radius 2.0mm,5.0,0.863794,-0.003140,-0.003770,0.009335
Radius 2.0mm,5.0,0.856990,-0.010936,-0.010713,0.010221
Radius 2.0mm,5.0,0.850049,-0.018660,-0.016747,0.011060
Radius 2.0mm,5.0,0.842972,-0.026319,-0.024071,0.000000
Radius 2.0mm,5.0,0.835763,-0.033917,-0.032773,0.000000
Radius 2.0mm,5.0,0.828425,-0.041460,-0.040748,0.000000
Radius 2.0mm,5.0,0.820960,-0.048953,-0.048488,0.000000
Radius 2.0mm,5.0,0.813372,-0.056402,-0.056099,0.000000
Radius 2.0mm,5.0,0.805662,-0.063812,-0.063624,0.000000
Radius 2.0mm,5.0,0.797835,-0.071188,-0.071085,0.000000
Radius 2.0mm,5.0,0.789893,-0.078534,-0.078498,0.000000
Radius 2.0mm,5.0,0.781840,-0.085857,-0.085873,0.000000
